ticker,timeframe,strategy_name,strategy_type,combination_method,position_type,n_indicators,total_return,n_trades,n_transactions,hit_rate,win_rate,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,profit_factor,period_profit_factor,avg_win,avg_loss,risk_reward_ratio,best_trade,worst_trade,avg_return_per_trade,volatility,sqn,kelly_criterion,expectancy,net_profit_usd,final_equity,max_drawdown_usd,total_costs_pct,ind1_name,ind1_period,ind1_position_type,ind2_name,ind2_period,ind2_signal,ind2_position_type,_batch_id,_session_id
ETHUSDT,1h,ethusd_cci_trix,combo,WEIGHTED,both,2,39.482179535538585,671,1329,0.26752652381943,0.37853949329359166,0.010271884998799448,0.010074843288606715,47.2610260609418,-0.8354067362953016,1.4555075236460286,1.054461141580067,0.07129686463812636,-0.029836895870849114,2.389553690395252,0.6677889258028793,-0.14711936517234425,0.008446226587093913,0.007897733636045751,2.7582449969330862,-0.42496200117385297,-0.002495052695594124,394821.79535538587,404821.79535538587,1106374.2737404443,1.4761999999999997,cci,14,both,trix,25,15,both,1,20251227_114120
ETHUSDT,1h,ethusd_cci_trix,combo,WEIGHTED,both,2,39.482179535538585,671,1329,0.26752652381943,0.37853949329359166,0.010271884998799448,0.010074843288606715,47.2610260609418,-0.8354067362953016,1.4555075236460286,1.054461141580067,0.07129686463812636,-0.029836895870849114,2.389553690395252,0.6677889258028793,-0.14711936517234425,0.008446226587093913,0.007897733636045751,2.7582449969330862,-0.42496200117385297,-0.002495052695594124,394821.79535538587,404821.79535538587,1106374.2737404443,1.4761999999999997,cci,14,both,trix,25,12,both,1,20251227_114120
ETHUSDT,1h,ethusd_cci_trix,combo,WEIGHTED,both,2,39.482179535538585,671,1329,0.26752652381943,0.37853949329359166,0.010271884998799448,0.010074843288606715,47.2610260609418,-0.8354067362953016,1.4555075236460286,1.054461141580067,0.07129686463812636,-0.029836895870849114,2.389553690395252,0.6677889258028793,-0.14711936517234425,0.008446226587093913,0.007897733636045751,2.7582449969330862,-0.42496200117385297,-0.002495052695594124,394821.79535538587,404821.79535538587,1106374.2737404443,1.4761999999999997,cci,14,both,trix,25,9,both,1,20251227_114120
ETHUSDT,1h,ethusd_cci_trix,combo,WEIGHTED,both,2,39.482179535538585,671,1329,0.26752652381943,0.37853949329359166,0.010271884998799448,0.010074843288606715,47.2610260609418,-0.8354067362953016,1.4555075236460286,1.054461141580067,0.07129686463812636,-0.029836895870849114,2.389553690395252,0.6677889258028793,-0.14711936517234425,0.008446226587093913,0.007897733636045751,2.7582449969330862,-0.42496200117385297,-0.002495052695594124,394821.79535538587,404821.79535538587,1106374.2737404443,1.4761999999999997,cci,14,both,trix,25,6,both,1,20251227_114120
ETHUSDT,1h,ethusd_cci_trix,combo,WEIGHTED,both,2,32.75167061550283,697,1381,0.26766521045697245,0.3802008608321377,0.00993784336029285,0.009796534502168457,37.89780426394667,-0.8642102425617436,1.4267283258319716,1.052511922078039,0.07048338865628727,-0.030304534623764062,2.325836365129856,0.6677889258028793,-0.24241071863004504,0.008015120568794906,0.007951199097327971,2.668546886188482,-0.42248202367185683,-0.0024998283634094422,327516.7061550283,337516.7061550283,1347700.7345664408,1.5333999999999999,cci,20,both,trix,25,6,both,1,20251227_114120
ETHUSDT,1h,ethusd_cci_trix,combo,WEIGHTED,both,2,32.75167061550283,697,1381,0.26766521045697245,0.3802008608321377,0.00993784336029285,0.009796534502168457,37.89780426394667,-0.8642102425617436,1.4267283258319716,1.052511922078039,0.07048338865628727,-0.030304534623764062,2.325836365129856,0.6677889258028793,-0.24241071863004504,0.008015120568794906,0.007951199097327971,2.668546886188482,-0.42248202367185683,-0.0024998283634094422,327516.7061550283,337516.7061550283,1347700.7345664408,1.5333999999999999,cci,20,both,trix,25,9,both,1,20251227_114120
ETHUSDT,1h,ethusd_cci_trix,combo,WEIGHTED,both,2,32.75167061550283,697,1381,0.26766521045697245,0.3802008608321377,0.00993784336029285,0.009796534502168457,37.89780426394667,-0.8642102425617436,1.4267283258319716,1.052511922078039,0.07048338865628727,-0.030304534623764062,2.325836365129856,0.6677889258028793,-0.24241071863004504,0.008015120568794906,0.007951199097327971,2.668546886188482,-0.42248202367185683,-0.0024998283634094422,327516.7061550283,337516.7061550283,1347700.7345664408,1.5333999999999999,cci,20,both,trix,25,12,both,1,20251227_114120
ETHUSDT,1h,ethusd_cci_trix,combo,WEIGHTED,both,2,32.75167061550283,697,1381,0.26766521045697245,0.3802008608321377,0.00993784336029285,0.009796534502168457,37.89780426394667,-0.8642102425617436,1.4267283258319716,1.052511922078039,0.07048338865628727,-0.030304534623764062,2.325836365129856,0.6677889258028793,-0.24241071863004504,0.008015120568794906,0.007951199097327971,2.668546886188482,-0.42248202367185683,-0.0024998283634094422,327516.7061550283,337516.7061550283,1347700.7345664408,1.5333999999999999,cci,20,both,trix,25,15,both,1,20251227_114120
ETHUSDT,1h,ethusd_cci_trix,combo,WEIGHTED,both,2,27.088137479314526,654,1301,0.2669440399417516,0.38073394495412843,0.009648690343962964,0.009415304986887724,31.9171351220701,-0.848702033428545,1.426665900699225,1.0511476880545647,0.07105743629142812,-0.030621860740709023,2.3204806818601855,0.6677889258028793,-0.14711936517234425,0.008090899138499157,0.007822051261854661,2.5909024362425144,-0.42993535094708096,-0.002498099229090692,270881.3747931453,280881.3747931453,830671.4183047675,1.4387999999999999,cci,10,both,trix,25,15,both,1,20251227_114120
ETHUSDT,1h,ethusd_cci_trix,combo,WEIGHTED,both,2,27.088137479314526,654,1301,0.2669440399417516,0.38073394495412843,0.009648690343962964,0.009415304986887724,31.9171351220701,-0.848702033428545,1.426665900699225,1.0511476880545647,0.07105743629142812,-0.030621860740709023,2.3204806818601855,0.6677889258028793,-0.14711936517234425,0.008090899138499157,0.007822051261854661,2.5909024362425144,-0.42993535094708096,-0.002498099229090692,270881.3747931453,280881.3747931453,830671.4183047675,1.4387999999999999,cci,10,both,trix,25,12,both,1,20251227_114120
